title,artist,nationality,date,medium,classification,department,object_id,url,image_url
Par,Gloria Ortiz-Hernández,(Colombian),2000,Pencil on paper,Drawing,Drawings & Prints,90715,https://www.moma.org/collection/works/90715,https://www.moma.org/media/W1siZiIsIjI4NjMyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=241e914eec6e4e56
MIROKU-Maitreya,Masaki Fujihata,(Japanese),1984,"Video (color, sound)",Video,Media and Performance,107458,https://www.moma.org/collection/works/107458,https://www.moma.org/media/W1siZiIsIjI1NTA1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7dd7629113fec266
"Robert H. McCormick House, Elmhurst, IL (Steel brackets. Elevations, sections.)",Ludwig Mies van der Rohe,(American),1951—1952,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,462880,정보없음,정보없음
"Page from Sketchbook #61, New York City",Ellsworth Kelly,(American),1968-69,"Page from a spiral-bound sketchbook with pencil, ink, ballpoint pen, felt-tip pen, and colored ink on paper",Notebook,Drawings & Prints,441385,정보없음,정보없음
"Untitled, from Easton Portraits",Judith Joy Ross,(American),1988,Gelatin silver printing-out-paper print,Photograph,Photography,49105,https://www.moma.org/collection/works/49105,https://www.moma.org/media/W1siZiIsIjUyNzA4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a99fd4b5b6de1603
"Commonwealth Promenade Apartment Buildings, Chicago, IL (Building 1. Machinery floor and penthouse. Roof framing plan.)",Ludwig Mies van der Rohe,(American),1953—1956,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,463666,정보없음,정보없음
Poison Gas Exhibition,Frederick H. K. Henrion,(British),1939-45,Lithograph,Design,Architecture & Design,5857,https://www.moma.org/collection/works/5857,https://www.moma.org/media/W1siZiIsIjUxNzQ3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6d9c519c3199faf8
Storage Boxes with Covers,Unidentified Designer,(American),Unknown,Clear plastic,Design,Architecture & Design,4336,정보없음,정보없음
"Casa Pollini, Siena, by Peruzzi",Paolo Lombardi,(Italian),c. 1880,Albumen silver print,Photograph,Photography,52891,https://www.moma.org/collection/works/52891,https://www.moma.org/media/W1siZiIsIjIwNzYyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d990d78ab8a82b43
"The Dwelling of Our Time, German Building Exhibition, Berlin, Germany (Reinforcing structure of mirror walls. Plan, sections.)",Ludwig Mies van der Rohe,(American),1931,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,481763,정보없음,정보없음
Carna Folding Wheelchair,Kazuo Kawasaki,(Japanese),1989,"Titanium, rubber, and aluminum honeycomb",Design,Architecture & Design,1512,https://www.moma.org/collection/works/1512,https://www.moma.org/media/W1siZiIsIjIxMDAyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3b7076d407aab09b
Villa d'un chiffonier,Eugène Atget,(French),1912,Albumen silver print,Photograph,Photography,43856,https://www.moma.org/collection/works/43856,https://www.moma.org/media/W1siZiIsIjEzODc2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6c2f578bfa2182d5
"Untitled from E. G., B.....",Jesse Reichek,(American),1966,One from a series of six lithographs,Print,Drawings & Prints,77806,https://www.moma.org/collection/works/77806,정보없음
"45°, 90°, 180°",Michael Heizer,(American),1983,"Etching, lithograph, screenprint and rubber stamp",Print,Drawings & Prints,59958,https://www.moma.org/collection/works/59958,정보없음
"Invitation to Moi aussi, je me suis demandé si je ne pouvais pas vendre quelque chose et réussir dans la vie..., Galerie Saint Laurent, April 10–25, 1964",Marcel Broodthaers,(Belgian),1964,Letterpress on magazine page,Print,Drawings & Prints,167018,https://www.moma.org/collection/works/167018,https://www.moma.org/media/W1siZiIsIjI3NjQ4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=891bc4b3764f4dab
Figure of Eight Chair,Ross Lovegrove,(British),1993,"Polyurethane, stainless steel, and nylon",Design,Architecture & Design,1529,https://www.moma.org/collection/works/1529,https://www.moma.org/media/W1siZiIsIjIyNjUwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d162ba886a56d7b6
Fluxfilm No. 14: Match and Fluxfilm No. 18: Smoking,"Yoko Ono, Joe Jones",(American) (American),1966,DVD,Video,Fluxus Collection,130521,정보없음,정보없음
Mexico City 1968 Olympics Bulletins no. 6,"Lance Wyman, Department of Publications and Urban Design, Organizing Committee of the XIX Olympiad, Beatrice Trueblood, Eduardo Terrazas, Huberto Batis",(American) () (British) (Mexican) (Mexican),1968,Lithograph,Design,Architecture & Design,182366,정보없음,정보없음
"Johnson Wax Administration Building, Racine, Wisconsin (Aerial perspective)",Frank Lloyd Wright,(American),1936–1939,"Ink, ink wash, pencil, and colored pencil on paper",Frank Lloyd Wright Archive,Architecture & Design,216156,정보없음,정보없음
Untitled (6 January 1972),Robert Overby,(American),1972,Gouache and pencil on paper,Drawing,Drawings & Prints,38525,https://www.moma.org/collection/works/38525,https://www.moma.org/media/W1siZiIsIjI4NzcxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da6ec1da49b9e8e1
Kheruvimy svistiat (The Cherubims Are Whistling),Igor' Terent'ev,(Russian),1919,Book with letterpress typographic design and illustration,Illustrated Book,Drawings & Prints,11652,https://www.moma.org/collection/works/11652,https://www.moma.org/media/W1siZiIsIjUzMDEyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=35835bb0214cacfc
Untitled,Francis Alÿs,(Belgian),2002,Color photograph,Photograph,Media and Performance,134915,https://www.moma.org/collection/works/134915,https://www.moma.org/media/W1siZiIsIjE5ODU4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b098cb23239958fe
"Canis (plate, folio 63 verso) from A Bestiary",Michael Hurson,(American),1990,Linoleum cut from an illustrated book with twenty-nine linoleum cuts (two with pochoir and two with letterpress) and seven woodcuts,Illustrated Book,Drawings & Prints,10098,https://www.moma.org/collection/works/10098,https://www.moma.org/media/W1siZiIsIjQ4OTQwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=43710c61fb68dd49
Standart - TTT,A.R. Penck (Ralf Winkler),(German),1980,Ink on paper,Drawing,Drawings & Prints,35657,https://www.moma.org/collection/works/35657,정보없음
"Clearing Storm, Sonoma County Hills, California",Ansel Adams,(American),1951,"Gelatin silver print, printed 1963",Photograph,Photography,58286,https://www.moma.org/collection/works/58286,https://www.moma.org/media/W1siZiIsIjE5NzgyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4a335fab761d6f79
"Seagram Building, New York City, NY (Restaurant. Wood details. Bar grille and dining rooms. Sections.)",Ludwig Mies van der Rohe,(American),1954—1958,Pencil on ozalid,Mies van der Rohe Archive,Architecture & Design,465617,정보없음,정보없음
Untitled (Monkey No. 9) from The Conditional Probability Machine,Eduardo Paolozzi,(British),1970,One from an illustrated book with twenty-five photogravures,Illustrated Book,Drawings & Prints,16276,https://www.moma.org/collection/works/16276,https://www.moma.org/media/W1siZiIsIjE5MDE3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9c438ad8535ccf0d
Emergency Room,Robert Colescott,(American),1989,Acrylic on canvas,Painting,Painting & Sculpture,78674,https://www.moma.org/collection/works/78674,https://www.moma.org/media/W1siZiIsIjQzMDcwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=61cbf142f5ebe5aa
"Souvenirs of Italy (plate, page 37) from Viaggio in Italia",Eugene Berman,(American),1945-1951,Lithograph,Illustrated Book,Drawings & Prints,17149,정보없음,정보없음
Paper Glider,Milan Knížák,(Czech),1965,Typewriting on folded ledger paper,Drawing,Drawings & Prints,165646,https://www.moma.org/collection/works/165646,https://www.moma.org/media/W1siZiIsIjI4ODA5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=99cf1cdbfe36e8cc
Carriage,Roman Signer,(Swiss),1985,"Super 8mm film transferred to video (color, silent)",Video,Media and Performance,114584,https://www.moma.org/collection/works/114584,https://www.moma.org/media/W1siZiIsIjE0NjI1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9607db474751e961
Spring Valley,Arthur B. Davies,(American),1924,Lithograph,Print,Drawings & Prints,74376,https://www.moma.org/collection/works/74376,https://www.moma.org/media/W1siZiIsIjI2MjUzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=378ceaccd7b713dc
Scores (pages 3-4) from Fluxus 1,Emmett Williams,(American),"1962, assembled c. 1976",Double-sided offset,Illustrated Book,Drawings & Prints,277695,정보없음,정보없음
Headpiece (page 18) from Calligrammes,Giorgio de Chirico,(Italian),1930,One from an illustrated book with sixty-eight lithographs (including wrapper),Illustrated Book,Drawings & Prints,23423,https://www.moma.org/collection/works/23423,정보없음
Untitled,Gilles-Louis Chrétien,(French),1786-1811,Physionotrace engraving,Photograph,Photography,49963,https://www.moma.org/collection/works/49963,https://www.moma.org/media/W1siZiIsIjIxMzQ0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4fe35bdf7dbacd9b
Color separations for THE SLEEPWALKER (Le noctambule),Jean Dubuffet,(French),(1966),13 color separations for the color lithograph,Print,Drawings & Prints,143552,정보없음,정보없음
The Sleepers (Les dormeurs),Sophie Calle,(French),1979,Gelatin silver print,Photograph,Photography,421133,https://www.moma.org/collection/works/421133,https://www.moma.org/media/W1siZiIsIjQ2ODYzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=987011cd46ba831a
Fifth Street Tavern and U.P.M.C. Braddock Hospital on Braddock Avenue,LaToya Ruby Frazier,(American),2011,Gelatin silver print,Photograph,Photography,188026,https://www.moma.org/collection/works/188026,https://www.moma.org/media/W1siZiIsIjMxNzA0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7e905a47303adc85
Untitled,Unidentified photographer,(),January 1945,Gelatin silver print with ink,Photograph,Photography,399994,https://www.moma.org/collection/works/399994,https://www.moma.org/media/W1siZiIsIjQ3MzM0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a43c2582f86e5612
Little life big love,Gabriele Picco,(Italian),2003,Ballpoint pen on paper,Drawing,Drawings & Prints,97057,https://www.moma.org/collection/works/97057,https://www.moma.org/media/W1siZiIsIjE1MTk1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9e856c4f2f0024dc
In-text plate (folio 16) from VACILLATIONS,Pierre Alechinsky,(Belgian),1979,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,9343,정보없음,정보없음
"Intra-Venus Face No. 18, February 15, 1992",Hannah Wilke,(American),1992,Watercolor on notebook paper,Drawing,Drawings & Prints,97770,https://www.moma.org/collection/works/97770,https://www.moma.org/media/W1siZiIsIjExNDgzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5b231dd3aeb2e97a
Itinerary (Itinéraire) from the portfolio Fields of Silence (Champs de silence) from Phenomena (Les Phénomènes),Jean Dubuffet,(French),1958,One from a portfolio of ten lithographs,Print,Drawings & Prints,94670,https://www.moma.org/collection/works/94670,https://www.moma.org/media/W1siZiIsIjI1NjYyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e1cfa7fd1b55d7f5
Untitled,Yutaka Matsuzawa,(Japanese),c. 1960–63,Offset lithograph with watercolor additions,Print,Drawings & Prints,192567,https://www.moma.org/collection/works/192567,https://www.moma.org/media/W1siZiIsIjQwMDE4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7a79f05932358374
Untitled from The Incestuous Kids,Alan Shields,(American),1973,"One from a portfolio of nine screenprints with embossing, woodcut, linoleum cut, dye-cutting, flocking and glass bead additions",Print,Drawings & Prints,179344,https://www.moma.org/collection/works/179344,https://www.moma.org/media/W1siZiIsIjI5MDIzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b270fb952484c403
Dog House from the portfolio Man Ray,William Wegman,(American),1981,Gelatin silver print,Photograph,Photography,200179,정보없음,정보없음
"THE MENAGERIE AT VERSAILLES (plate, facing page 42) from DUNOYER DE SEGONZAC",André Dunoyer de Segonzac,(French),(Print executed 1924),"Etching and drypoint, printed in black",Illustrated Book,Drawings & Prints,30779,정보없음,정보없음
"Then, Mr. Ay-O Got Drunk by the Rainbow",Ay-O,(Japanese),1973,One from a series of thirty-eight 3M color-in-color magnetic process prints,Print,Drawings & Prints,149373,https://www.moma.org/collection/works/149373,https://www.moma.org/media/W1siZiIsIjIyMTM1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a705b402edbf99b9
Untitled from 8 Trames 0°90° (8 Wefts 0°90°),François Morellet,(French),(1974),One from a portfolio of eight double-sided screenprints,Print,Drawings & Prints,102016,https://www.moma.org/collection/works/102016,https://www.moma.org/media/W1siZiIsIjEwMjk3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c8020938920eb2af
Untitled,Varvara Stepanova,(Russian),"1920, published posthumously",Linoleum cut,Print,Drawings & Prints,65731,https://www.moma.org/collection/works/65731,https://www.moma.org/media/W1siZiIsIjE5MTQ4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b0bbdb5b5c3410d6
Lookout,Martin Puryear,(American),2025,Lithograph with chine-collé on black paper,Print,Drawings & Prints,506342,정보없음,정보없음
"Duplicate of plate from folio 16 (supplementary suite, plate 5) from Five Psalms",Henry Pearson,(American),1969,Screenprint from an illustrated book with five screenprints and supplementary suite,Illustrated Book,Drawings & Prints,17325,정보없음,정보없음
"Harold's Chicken Shack, from the Color(ed) Theory Suite",Amanda Williams,(American),2014-2016,Inkjet print,Architecture,Architecture & Design,290981,https://www.moma.org/collection/works/290981,https://www.moma.org/media/W1siZiIsIjQ0MzA3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=caa9b527fd58828b
Trio for Strings (pages 4-5) from Fluxus 1,La Monte Young,(American),"1958, assembled c. 1965-66",Double-sided offset,Illustrated Book,Drawings & Prints,283890,정보없음,정보없음
"Under/Aquarius typewritten explanation, box SV7, folder: ""under aquarius dive-in/swim-in""",Stan VanDerBeek,(American),ca 1976,typescript copier print on paper,Ephemera,Film,142477,정보없음,정보없음
Untitled from 128 Details from a Picture (Halifax 1978) II (128 Fotos Von Einem Bild [Halifax 1978] II),Gerhard Richter,(German),1998,One from a portfolio of eight offset lithographs,Print,Drawings & Prints,101847,https://www.moma.org/collection/works/101847,https://www.moma.org/media/W1siZiIsIjUyMTU5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6e682dbc390bdf53
Buttress of the Elevated,Brassaï (Gyula Halász),(French),1935,Gelatin silver print,Photograph,Photography,58864,https://www.moma.org/collection/works/58864,https://www.moma.org/media/W1siZiIsIjQyNTYwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=dbf9ffc72c8151e9
Vertical 9 (Village of Ajarani) from the series Marcados,Claudia Andujar,(American),1981-83,"Gelatin silver print, printed 2006",Photograph,Photography,424310,https://www.moma.org/collection/works/424310,https://www.moma.org/media/W1siZiIsIjUwNzY3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2c4394b1e035e3d5
Untitled,Louise Bourgeois,(American),1995,"Drypoint, with hand additions",Print,Drawings & Prints,71463,https://www.moma.org/collection/works/71463,https://www.moma.org/media/W1siZiIsIjI2NzM5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=06b583fbd15018b9
Untitled (Torsos),Willem de Kooning,(American),c. 1954,Ink on paper,Drawing,Drawings & Prints,35221,https://www.moma.org/collection/works/35221,https://www.moma.org/media/W1siZiIsIjE2NjE3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=18629b62ed1d4e9f
Nymphéa,Eugène Atget,(French),1925,Gelatin silver printing-out-paper print,Photograph,Photography,43384,https://www.moma.org/collection/works/43384,https://www.moma.org/media/W1siZiIsIjMwMDQyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4a6b9c42647568a9
In-text plate from The Alphabet of Creation,Ben Shahn,(American),1954,Page from an illustrated book with forty-three in-text prints and one supplementary ink drawing (frontispiece),Illustrated Book,Drawings & Prints,479363,정보없음,정보없음
Leaf Light,Yves Béhar,(Swiss),2005,"Aluminum, plastic, and 10 cool and 10 warm LEDs",Design,Architecture & Design,112528,https://www.moma.org/collection/works/112528,https://www.moma.org/media/W1siZiIsIjIwMjkyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9443872d21b8921a
Doble faz (Twofold),Nicolás Paris,(Colombian),2007/2011,Pencil on 66 sheets of paper,Drawing,Drawings & Prints,169946,정보없음,정보없음
Crinkle Tea Cup and Saucer (model CR-102),Makoto Komatsu,(Japanese),1974,Bone china,Design,Architecture & Design,4667,https://www.moma.org/collection/works/4667,정보없음
Honey in Trunk,Bill Arnold,(American),c. 1970,Microfilm reader-printer machine print,Photograph,Photography,46297,https://www.moma.org/collection/works/46297,https://www.moma.org/media/W1siZiIsIjI1ODYxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=88574436c0309f9f
E=Q=U=A=L=S(for Parket no. 87),Cerith Wyn Evans,(British),2010,Multiple of neon with power cable and transformer,Multiple,Drawings & Prints,142325,https://www.moma.org/collection/works/142325,https://www.moma.org/media/W1siZiIsIjI1NDEzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c678d6b869e62086
Plate (folio 25) from A DAY BOOK,R. B. Kitaj,(American),1972,"Screenprint, printed in color",Illustrated Book,Drawings & Prints,14266,정보없음,정보없음
Ancien Château. Rue de la Gare. Chatillon,Eugène Atget,(French),1922,Gelatin silver printing-out-paper print,Photograph,Photography,39741,https://www.moma.org/collection/works/39741,https://www.moma.org/media/W1siZiIsIjMwMzU5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=07ac3ef340606d0c
The Fragile,Louise Bourgeois,(American),2007,"Series of 36 compositions: 29 digital prints and 7 screenprints, 30 with hand additions",Print,Drawings & Prints,129798,https://www.moma.org/collection/works/129798,https://www.moma.org/media/W1siZiIsIjI2MjE5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5ae922aa73120ccc
Co-Ed Magazine #1-5,Suzy Lake,(Canadian),1973,"Five gelatin silver prints (selenium toned), printed 1998",Photograph,Photography,407652,https://www.moma.org/collection/works/407652,https://www.moma.org/media/W1siZiIsIjQ4NDM3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b689d784e8cc7c50
Body Politics,VALIE EXPORT,(Austrian),1974,"Standard-definition video (black and white, sound)",Video,Media and Performance,159712,https://www.moma.org/collection/works/159712,https://www.moma.org/media/W1siZiIsIjI1MDM5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=46c977a39a12df6e
A Cloud (Una nube),Leopoldo Méndez,(Mexican),1931,Wood engraving,Print,Drawings & Prints,70712,https://www.moma.org/collection/works/70712,https://www.moma.org/media/W1siZiIsIjE5MjczNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d001c90917714cfa
"IIT S.R. Crown Hall, Chicago, IL (Structural steel system. Plan, elevations.)",Ludwig Mies van der Rohe,(American),1950—1956,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,459135,정보없음,정보없음
Untitled,Martin Puryear,(American),2020,Lithograph,Print,Drawings & Prints,417810,https://www.moma.org/collection/works/417810,https://www.moma.org/media/W1siZiIsIjUzNzcxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c5cd4f652f9b9edd
Floor Neon,Stephen Antonakos,(American),1969,"Graphite, pigment and varnish on paper",Drawing,Drawings & Prints,288833,정보없음,정보없음
Liquor Store Window,Fannie Hillsmith,(American),1946,"Tempera, oil, and sand on canvas",Painting,Painting & Sculpture,79467,https://www.moma.org/collection/works/79467,https://www.moma.org/media/W1siZiIsIjE3NjkyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=624cf10e23b03815
"View of Maciunas' Chronology of Russian History: Oct. 3, 1914–1934 (Industry/Agriculture/Budget/Poetry/Prose)",Herman Seidl,(),2003,Gelatin silver print,Photograph,Drawings & Prints,128234,정보없음,정보없음
Petite Étrangeté Contre un Mur Vase,Philippe Starck,(French),1988,Glass,Design,Architecture & Design,1932,https://www.moma.org/collection/works/1932,정보없음
"Abstract Painting, Red",Ad Reinhardt,(American),1952,Oil on canvas,Painting,Painting & Sculpture,78723,https://www.moma.org/collection/works/78723,https://www.moma.org/media/W1siZiIsIjE3OTUyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cfd67b576863d09d
"Home Federal Savings and Loan Association, Grand Avenue, Des Moines, IA (Ground-floor storage cabinets. Plan, elevations, sections.)",Ludwig Mies van der Rohe,(American),1959,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,467765,정보없음,정보없음
Untitled,Ernest J. Bellocq,(American),c. 1912,"Gelatin silver printing-out-paper print, printed by Lee Friedlander 1966-69",Photograph,Photography,57411,https://www.moma.org/collection/works/57411,https://www.moma.org/media/W1siZiIsIjE0NDc1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=317661fbe7393f79
"IIT S.R. Crown Hall, Chicago, IL (Plot plan.)",Ludwig Mies van der Rohe,(American),1950—1956,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,459128,정보없음,정보없음
"Retirez... (Withdraw...) (plate, folio 20) from Psaumes pénitentiels de David (David's Penitential Psalms)",Alain de La Bourdonnaye,(French),1956,"Collagraph and aquatint from an illustrated book with ten collagraph and aquatints, one collagraph and etching, and collagraph cover",Illustrated Book,Drawings & Prints,21944,https://www.moma.org/collection/works/21944,https://www.moma.org/media/W1siZiIsIjI4MDIwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9ba23cd8cf6fbe3a
"THE WOLF AND THE LAMB (plate 5, 2nd supplementary suite) from FABLES",Marc Chagall,(French),1927-1952,"Etching and engraving over photogravure, printed in black",Illustrated Book,Drawings & Prints,22881,정보없음,정보없음
"THE WOLF, THE NANNY-GOAT, AND THE KID (plate; volume I, folio 101) from FABLES",Marc Chagall,(French),1927-1952,"Etching and engraving over photogravure, printed in black with gouache additions",Illustrated Book,Drawings & Prints,22719,정보없음,정보없음
"Triennale di Milano, Mexican Pavilion, Milan, Italy,",Eduardo Terrazas,(Mexican),1968,Painted wood,Architecture,Architecture & Design,177217,https://www.moma.org/collection/works/177217,https://www.moma.org/media/W1siZiIsIjM5NjM4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=39096c8ba256f812
"""Freia"" Portable Electric Sewing Machine",Ernst Fischer,(German),1948,"Cast metal, Bakelite, and wooden case",Design,Architecture & Design,134459,https://www.moma.org/collection/works/134459,https://www.moma.org/media/W1siZiIsIjIzMTM1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9e269e598f7e871f
"Tugendhat House, Brno, Czech Republic, Master bedroom, lady's bedroom, two bathrooms. Plan.",Ludwig Mies van der Rohe,(American),1928–1930,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,107133,https://www.moma.org/collection/works/107133,https://www.moma.org/media/W1siZiIsIjExNjY5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=25d26066a3168985
"Ron Bacardi y Compania, S.A. Administration Building, Mexico City, Mexico (Grille. Perspective. Sketch.)",Ludwig Mies van der Rohe,(American),1958,Pencil on note paper,Mies van der Rohe Archive,Architecture & Design,468185,정보없음,정보없음
"Meeting Street, Charleston, South Carolina, August 3, 1975",Stephen Shore,(American),1975,"Chromogenic print, printed 2013",Photograph,Photography,167698,https://www.moma.org/collection/works/167698,https://www.moma.org/media/W1siZiIsIjI2NTg1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=59e949f78fbedb50
On the Stove (Sur le poêle),Marc Chagall,(French),1922-23,Lithograph,Print,Drawings & Prints,62245,https://www.moma.org/collection/works/62245,https://www.moma.org/media/W1siZiIsIjE5NTcwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9eff7e144720781f
