title,artist,nationality,date,medium,classification,department,object_id,url,image_url
"James Edward Brickner, “Ozzy,” UAW Local 1112, standing inside UAW Local 1112 Reuther Scandy Alli union hall, (24 years in at GM Lordstown Complex, global customer auditor, inspection), Lordstown, OH.",LaToya Ruby Frazier,(American),2019,Gelatin silver print,Photograph,Photography,451355,https://www.moma.org/collection/works/451355,https://www.moma.org/media/W1siZiIsIjU1MzQ2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=05c159b1caaf58be
Daytime TV and Kitchen Counter,Joanne Leonard,(American),c. 1970,Gelatin silver print,Photograph,Photography,397795,https://www.moma.org/collection/works/397795,https://www.moma.org/media/W1siZiIsIjQ2NjIxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b8b6eebf509d3d6d
L'Abbatoire No. VI (The Slaughterhouse No. VI),Eldzier Cortor,(American),c. 1955,Etching and aquatint,Print,Drawings & Prints,400233,https://www.moma.org/collection/works/400233,https://www.moma.org/media/W1siZiIsIjQ4MTcyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=589ef4270471a561
Untitled from the portfolio Night Moods,Ralph Humphrey,(American),1983,Etching,Print,Drawings & Prints,64984,https://www.moma.org/collection/works/64984,https://www.moma.org/media/W1siZiIsIjg3MjQ4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=2663266711550dd1
Field Grasses,Lily Cushing,(American),1962,Pencil on paper,Drawing,Drawings & Prints,38544,https://www.moma.org/collection/works/38544,정보없음
Door handle sketches,Jean Tschumi,(Swiss),c.1940-1955,Pencil on tracing paper,Architecture,Architecture & Design,132389,https://www.moma.org/collection/works/132389,https://www.moma.org/media/W1siZiIsIjE3Mjc0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9e3fbfeaa5f12fe7
"Seagram Building, New York City, NY (Roof columns. Fireproofing and flashing details. Plan, sections.)",Ludwig Mies van der Rohe,(American),1954—1958,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,465250,정보없음,정보없음
Lit Circle,Keith Sonnier,(American),1969 (fabricated 1986),"Synthetic polymer paint on circular glass, neon tubing, transformer, and wire",Sculpture,Painting & Sculpture,81297,https://www.moma.org/collection/works/81297,https://www.moma.org/media/W1siZiIsIjIwMjM2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=508196cd7631a9f4
Double Lunar Dogs,Joan Jonas,(American),1984,"Video (color, sound)",Video,Media and Performance,89352,https://www.moma.org/collection/works/89352,https://www.moma.org/media/W1siZiIsIjEyNzE0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0f7cc779749d5778
Bruxelles Exposition Universelle 1935,Leo Marfurt,(Belgian),1935,Lithograph,Design,Architecture & Design,6311,https://www.moma.org/collection/works/6311,https://www.moma.org/media/W1siZiIsIjUxNzUxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6b867e1f50187e33
Moon Boot,Giancarlo Zanatta,(Italian),1983,Nylon and rubber,Design,Architecture & Design,206214,https://www.moma.org/collection/works/206214,정보없음
"Admission ticket to attend the funeral and wake of V. Mayakovsky, April 17, 1930, \Admission ticket to attend the funeral and wake of V. Mayakovsky, April 17, 1930\",Russian Book Collection,(),1930,Letterpress,Print,Drawings & Prints,9074,정보없음,정보없음
